datetime,portfolio_value,cash,positions,return
2023-12-15 08:30:00-05:00,100000.0,100000.0,[],
2023-12-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-15 16:00:00-05:00,100319.06103515625,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0031906103515624284
2023-12-18 08:30:00-05:00,100157.94219970703,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",-0.0016060640299728757
2023-12-18 09:30:00-05:00,100157.94219970703,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-18 09:30:00-05:00,100157.94219970703,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-18 16:00:00-05:00,100157.94219970703,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-19 08:30:00-05:00,100322.24090576172,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0016403961827320401
2023-12-19 09:30:00-05:00,100322.24090576172,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-19 09:30:00-05:00,100322.24090576172,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-19 16:00:00-05:00,100322.24090576172,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-20 08:30:00-05:00,100473.82012939453,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0015109234230044066
2023-12-20 09:30:00-05:00,100473.82012939453,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-20 09:30:00-05:00,100473.82012939453,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-20 16:00:00-05:00,100473.82012939453,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-21 08:30:00-05:00,100195.0396118164,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",-0.002774658286298859
2023-12-21 09:30:00-05:00,100195.0396118164,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-21 09:30:00-05:00,100195.0396118164,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-21 16:00:00-05:00,100195.0396118164,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-22 08:30:00-05:00,100463.21948242188,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0026765783180930924
2023-12-22 09:30:00-05:00,100463.21948242188,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-22 09:30:00-05:00,100463.21948242188,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-22 16:00:00-05:00,100463.21948242188,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-26 08:30:00-05:00,100485.48181152344,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.00022159681141276089
2023-12-26 09:30:00-05:00,100485.48181152344,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-26 09:30:00-05:00,100485.48181152344,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-26 16:00:00-05:00,100485.48181152344,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-27 08:30:00-05:00,100630.70129394531,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0014451787442713027
2023-12-27 09:30:00-05:00,100630.70129394531,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-27 09:30:00-05:00,100630.70129394531,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-27 16:00:00-05:00,100630.70129394531,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-28 08:30:00-05:00,100783.34155273438,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.00151683588434115
2023-12-28 09:30:00-05:00,100783.34155273438,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-28 09:30:00-05:00,100783.34155273438,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-28 16:00:00-05:00,100783.34155273438,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-29 08:30:00-05:00,100742.0,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",-0.00041020224272625416
2023-12-29 09:30:00-05:00,100742.0,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-29 09:30:00-05:00,100742.0,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
2023-12-29 16:00:00-05:00,100742.0,50234.06103515625,"[{'asset': SPY, 'quantity': 106.0}]",0.0
